,book_name,book_writer,translator,book_date,book_page,ori_book_price,sale_book_price,mileage
249,설계 프로세스로 배우는 창의적 공학설계, 노승환 , , 2014-06-27, 336 ,20000,20000,600
250,"IT CookBook, 빅데이터 컴퓨팅 기술"," 박두순 , 문양세 , 박영호 , 윤찬현 , 정영식 , 장형석 ", , 2014-06-24, 344 ,22000,22000,660
251,"IT CookBook, 단계별로 배우는 전자회로 실험 : 기본 소자부터 응용 회로까지", 이강윤 , , 2014-06-05, 456 ,22000,22000,660
252,"IT CookBook, CMOS 디지털 집적회로 설계 : 기본 이론부터 실습까지", 신경욱 , , 2014-05-30, 464 ,26000,26000,780
253,"IT CookBook, 익스플로링 아두이노", JEREMY BLUM , 김찬웅 , 2014-05-26, 404 ,27000,27000,810
254,"IT CookBook, RF 및 초고주파 공학", 카이 창(Kai Chang) , 홍익표 , 2014-03-12, 392 ,24000,24000,720
255,"IT CookBook, 인터넷 이해와 활용 : 인터넷 기초부터 홈페이지 제작까지(개정2판)"," 안치현 , 김형철 ", , 2014-03-12, 460 ,22000,22000,660
256,"IT CookBook, 엑셀 2010 실무와 활용", 전미진 , , 2014-02-24, 428 ,19000,19000,570
257,"IT CookBook, 엑셀과 파워포인트 2010 실무와 활용"," 전미진 , 고경희 ", , 2014-02-24, 648 ,21000,21000,630
258,"IT CookBook, 파워포인트 2010 실무와 활용", 고경희 , , 2014-02-24, 448 ,19000,19000,570
259,"IT CookBook, ASP.NET 4.0 프로그래밍", 김동아 , , 2014-02-19, 684 ,28000,28000,840
260,"IT CookBook, 초보자의 첫 번째 워드 2010", 최희식 , , 2014-02-19, 160 ,10000,10000,300
261,"IT CookBook, 파워포인트 2007 실무와 활용", 고경희 , , 2014-02-17, 420 ,18000,18000,540
262,"IT CookBook, New 인터넷 이해와 활용", 김경신 , , 2014-01-09, 464 ,25000,25000,750
263,"IT CookBook, 프로젝트로 배우는 자바 웹 프로그래밍", 황희정 , , 2014-01-09, 692 ,26000,26000,780
264,"IT CookBook, 디지털 논리회로 실험 : 120개의 기본 실험과 12개의 텀 프로젝트"," 임석구 , 홍경호 ", , 2014-01-08, 440 ,23000,23000,690
265,"IT CookBook, 윈도우 프로그래밍 : Visual C++ 2010 MFC Programming"," 김선우 , 신화선 ", , 2014-01-08, 808 ,28000,28000,840
266,"IT CookBook, 실감나게 배우는 제어공학"," 한수희 , 이영삼 , 권보규 , 권오규 , 권욱현 ", , 2014-01-02, 620 ,28000,28000,840
267,"IT CookBook, 디지털 실험 : with PSpice", 홍순관 , , 2013-12-31, 292 ,16000,16000,480
268,"IT CookBook, 디지털 공학 : 논리회로의 설계 원리"," 김대정 , 모현선 ", , 2013-12-02, 596 ,28000,28000,840
269,기초 선형대수학 : BASIC LINEAR ALGEBRA," 이광연 , 설한국 , 김진수 ", , 2013-11-02, 456 ,25000,25000,750
270,대학수학 Plus : University Mathematics, 이재원 , , 2013-10-14, 528 ,26000,26000,780
271,"IT CookBook, 웹 기획 기초와 설계(개정판) : 웹 사이트, 인터페이스, 디자인", 강은정 , , 2013-09-15, 432 ,23000,23000,690
272,"IT CookBook, 단계별로 따라하며 배우는 디지털 공학 실험"," 이승호 , 민경옥 ", , 2013-08-21, 372 ,22000,22000,660
273,"IT CookBook, 데이터베이스 기초와 실습 : 액세스 2010", 김지연 , , 2013-08-21, 536 ,24000,24000,720
274,"IT CookBook, 컴퓨터 구조와 원리 2.0 : 비주얼 컴퓨터 아키텍처", 신종홍 , , 2013-08-21, 640 ,25000,25000,750
275,기초 확률과 통계 : BASIC PROBABILITY & STATISTICS, 박대수 , , 2013-08-21, 384 ,18000,18000,540
276,"IT CookBook, 전자기학 : ELECTROMAGNETICS"," Arlon T. Adams , Jay Kyoon Lee(이재균) "," 유태훈 , 허노정 ", 2013-08-19, 640 ,30000,30000,900
277,"IT CookBook, OpenGL로 배우는 3차원 컴퓨터 그래픽스", 주우석 , , 2013-08-18, 908 ,38000,38000,1140
278,"IT CookBook, 인공지능 개론", 마이클 네그네빗스키 , 김용혁 , 2013-08-13, 484 ,25000,25000,750
279,"IT CookBook, 현대 반도체 소자 공학 : Modern Semiconductor Devices for Integrated Circuits", 첸밍 후(Chenming Calvin Hu) ," 권기영 , 신형철 , 이종호 ", 2013-08-13, 456 ,25000,25000,750
280,"IT CookBook, 디지털 신호 처리 : 기본 이론부터 MATLAB 실습까지", 이철희 , , 2013-07-31, 640 ,28000,28000,840
281,"IT CookBook, enjoy design 포토샵 CS6", 이영주 , , 2013-07-28, 522 ,25000,25000,750
282,"IT CookBook, TCP/IP 윈도우 소켓 프로그래밍", 김선우 , , 2013-07-28, 604 ,25000,25000,750
283,"IT CookBook, 초보자의 첫 번째 파워포인트 2010", 최희식 , , 2013-07-28, 176 ,10000,10000,300
284,"IT CookBook, 전자회로 : 핵심 개념부터 응용까지"," 강문식 , 신경욱 ", , 2013-07-25, 860 ,32000,32000,960
285,"IT CookBook, 데이터베이스 관리와 실습(개정판) : MS SQL Server 2008", 손광수 , , 2013-07-02, 584 ,25000,25000,750
286,"IT CookBook, 마이크로컨트롤러 AVR ATmega128 : 상태도를 이용한 시스템 설계", 이상설 , , 2013-07-02, 604 ,29000,29000,870
287,"IT CookBook, 자바로 배우는 쉬운 자료구조", 이지영 , , 2013-07-02, 536 ,24800,24800,744
288,"IT CookBook, 프로그래밍 언어론 : 쉽게 배우는 언어의 원리와 구조"," 김종훈 , 김종진 ", , 2013-07-02, 384 ,20000,20000,600
289,"IT CookBook, SQL Server로 배우는 데이터베이스 개론과 실습"," 박우창 , 남송휘 ", , 2013-07-01, 576 ,27000,27000,810
290,"IT CookBook, C++ 하이킹 : 객체지향과 만나는 여행"," 성윤정 , 김태은 ", , 2013-06-19, 676 ,25000,25000,750
291,"IT CookBook, 반도체 공학 연습문제 풀이집", 김동명 , , 2013-05-31, 336 ,22000,22000,660
292,"IT CookBook, C 프로그래밍"," 강동진, 하숙정, 임수연, 송무희, 박보석 ", , 2013-03-20, 652 ,24000,24000,720
293,"IT CookBook, 컴퓨터 활용 : 윈도우 7, 한글 2010, 엑셀 2010, 파워포인트 2010"," 김주영 , 정영준 ", , 2013-03-20, 496 ,21000,21000,630
294,"IT CookBook, 초보자의 첫 번째 엑셀 2010", 양숙희 , , 2013-03-12, 152 ,10000,10000,300
295,"IT CookBook, 개념이 보이는 물리전자공학", 이현용 , , 2013-02-28, 416 ,24000,24000,720
296,문제해결력을 키우는 이공계 글쓰기 : 발표와 토론까지, 한성우 , , 2013-02-28, 396 ,18000,18000,540
297,"진로개발과 직업세계 : 대학생과 청년층을 위한 진로, 취업지침서"," 서일수 , 김도균 , 김지혜 , 이정배 ", , 2013-02-28, 392 ,20000,20000,600
298,Essential Calculus, James Stewart , , 2012-07-08, 960 ,36000,36000,1080
299,"IT CookBook, 디지털 통신 시스템 : Digital Communication Systems"," 정호영 , 임승각 ", , 2011-01-31, 576 ,25000,25000,750
300,"IT CookBook, 운영체제론 : Operating Systems, 3rd Ed"," 하비 디텔 , 폴 디텔 , 데이빗 쇼픈스 ", 송경희 , 2009-09-04, 860 ,32000,32000,960
